"filename", "language", "JSON", "JavaScript", "Markdown", "HTML", "JavaScript JSX", "CSS", "comment", "blank", "total"
"c:\Users\Usuario\Desktop\tcc-schengenrs\front-end_tcc_schengers\src\components\CourseCarousel\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 45, 0, 0, 8, 53
"c:\Users\Usuario\Desktop\tcc-schengenrs\front-end_tcc_schengers\src\components\CoursePart\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 232, 0, 4, 10, 246
"c:\Users\Usuario\Desktop\tcc-schengenrs\front-end_tcc_schengers\src\components\CoursesBarChart\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 50, 0, 0, 5, 55
"c:\Users\Usuario\Desktop\tcc-schengenrs\front-end_tcc_schengers\src\components\CoursesCarrousel\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 99, 0, 0, 20, 119
"c:\Users\Usuario\Desktop\tcc-schengenrs\front-end_tcc_schengers\src\components\FieldError\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 8, 0, 0, 1, 9
"c:\Users\Usuario\Desktop\tcc-schengenrs\front-end_tcc_schengers\src\components\FieldHint\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 3, 0, 0, 0, 3
"c:\Users\Usuario\Desktop\tcc-schengenrs\front-end_tcc_schengers\src\components\FieldLabel\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 13, 0, 0, 0, 13
"c:\Users\Usuario\Desktop\tcc-schengenrs\front-end_tcc_schengers\src\components\FilterButton\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 12, 0, 0, 0, 12
"c:\Users\Usuario\Desktop\tcc-schengenrs\front-end_tcc_schengers\src\components\Footer\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 115, 0, 5, 22, 142
"c:\Users\Usuario\Desktop\tcc-schengenrs\front-end_tcc_schengers\src\components\GuestRouteStudent\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 8, 0, 0, 2, 10
"c:\Users\Usuario\Desktop\tcc-schengenrs\front-end_tcc_schengers\src\components\GuestRouteTeacher\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 8, 0, 0, 3, 11
"c:\Users\Usuario\Desktop\tcc-schengenrs\front-end_tcc_schengers\src\components\HeaderTeacher\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 37, 0, 0, 8, 45
"c:\Users\Usuario\Desktop\tcc-schengenrs\front-end_tcc_schengers\src\components\Heading\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 63, 0, 6, 7, 76
"c:\Users\Usuario\Desktop\tcc-schengenrs\front-end_tcc_schengers\src\components\InputFile\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 15, 0, 0, 0, 15
"c:\Users\Usuario\Desktop\tcc-schengenrs\front-end_tcc_schengers\src\components\Input\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 11, 0, 0, 1, 12
"c:\Users\Usuario\Desktop\tcc-schengenrs\front-end_tcc_schengers\src\components\Label\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 7, 0, 0, 0, 7
"c:\Users\Usuario\Desktop\tcc-schengenrs\front-end_tcc_schengers\src\components\Link\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 18, 0, 0, 6, 24
"c:\Users\Usuario\Desktop\tcc-schengenrs\front-end_tcc_schengers\src\components\Modal\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 108, 0, 0, 16, 124
"c:\Users\Usuario\Desktop\tcc-schengenrs\front-end_tcc_schengers\src\components\NavBar\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 42, 0, 2, 3, 47
"c:\Users\Usuario\Desktop\tcc-schengenrs\front-end_tcc_schengers\src\components\PageContainerTeacher\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 13, 0, 1, 1, 15
"c:\Users\Usuario\Desktop\tcc-schengenrs\front-end_tcc_schengers\src\components\PassworInput\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 33, 0, 0, 3, 36
"c:\Users\Usuario\Desktop\tcc-schengenrs\front-end_tcc_schengers\src\components\PrivateRouteAdmin\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 14, 0, 0, 4, 18
